reference_label,candidate_label,iou,reference_volume_voxels,candidate_volume_voxels,volume_mean_voxels,volume_difference_voxels,volume_difference_percent,is_volume_outlier
176,176,1.0,376,376,376.0,0,0.0,False
177,177,1.0,330,330,330.0,0,0.0,False
178,178,1.0,333,333,333.0,0,0.0,False
179,179,1.0,370,370,370.0,0,0.0,False
180,180,1.0,428,428,428.0,0,0.0,False
181,181,1.0,325,325,325.0,0,0.0,False
182,182,1.0,389,389,389.0,0,0.0,False
183,183,1.0,395,395,395.0,0,0.0,False
184,184,1.0,377,377,377.0,0,0.0,False
185,185,1.0,317,317,317.0,0,0.0,False
186,186,1.0,230,230,230.0,0,0.0,False
187,187,1.0,454,454,454.0,0,0.0,False
188,188,1.0,900,900,900.0,0,0.0,False
189,189,1.0,271,271,271.0,0,0.0,False
190,190,1.0,431,431,431.0,0,0.0,False
191,191,1.0,289,289,289.0,0,0.0,False
192,192,1.0,229,229,229.0,0,0.0,False
193,193,1.0,451,451,451.0,0,0.0,False
194,194,1.0,504,504,504.0,0,0.0,False
195,195,1.0,415,415,415.0,0,0.0,False
196,196,1.0,352,352,352.0,0,0.0,False
197,197,1.0,510,510,510.0,0,0.0,False
198,198,1.0,312,312,312.0,0,0.0,False
199,199,1.0,239,239,239.0,0,0.0,False
200,200,1.0,447,447,447.0,0,0.0,False
201,201,1.0,394,394,394.0,0,0.0,False
202,202,1.0,403,403,403.0,0,0.0,False
203,203,1.0,278,278,278.0,0,0.0,False
204,204,1.0,524,524,524.0,0,0.0,False
205,205,1.0,427,427,427.0,0,0.0,False
206,206,1.0,327,327,327.0,0,0.0,False
207,207,1.0,313,313,313.0,0,0.0,False
208,208,1.0,311,311,311.0,0,0.0,False
209,209,1.0,431,431,431.0,0,0.0,False
210,210,1.0,344,344,344.0,0,0.0,False
211,211,1.0,348,348,348.0,0,0.0,False
212,212,1.0,435,435,435.0,0,0.0,False
213,213,1.0,673,673,673.0,0,0.0,False
214,214,1.0,428,428,428.0,0,0.0,False
