reference_label,candidate_label,iou,reference_volume_voxels,candidate_volume_voxels,volume_mean_voxels,volume_difference_voxels,volume_difference_percent,is_volume_outlier
206,206,1.0,751,751,751.0,0,0.0,False
207,207,1.0,1769,1769,1769.0,0,0.0,False
208,208,1.0,332,332,332.0,0,0.0,False
209,209,1.0,394,394,394.0,0,0.0,False
210,210,1.0,784,784,784.0,0,0.0,False
211,211,1.0,592,592,592.0,0,0.0,False
212,212,1.0,854,854,854.0,0,0.0,False
213,213,1.0,830,830,830.0,0,0.0,False
214,214,1.0,1255,1255,1255.0,0,0.0,False
215,215,1.0,672,672,672.0,0,0.0,False
216,216,1.0,767,767,767.0,0,0.0,False
217,217,1.0,869,869,869.0,0,0.0,False
218,218,1.0,479,479,479.0,0,0.0,False
219,219,1.0,703,703,703.0,0,0.0,False
220,220,1.0,480,480,480.0,0,0.0,False
221,221,1.0,939,939,939.0,0,0.0,False
222,222,1.0,282,282,282.0,0,0.0,False
223,223,1.0,742,742,742.0,0,0.0,False
224,224,1.0,772,772,772.0,0,0.0,False
225,225,1.0,513,513,513.0,0,0.0,False
226,226,1.0,725,725,725.0,0,0.0,False
227,227,1.0,1334,1334,1334.0,0,0.0,False
228,228,1.0,602,602,602.0,0,0.0,False
229,229,1.0,612,612,612.0,0,0.0,False
230,230,1.0,954,954,954.0,0,0.0,False
231,231,1.0,680,680,680.0,0,0.0,False
232,232,1.0,708,708,708.0,0,0.0,False
233,233,1.0,1021,1021,1021.0,0,0.0,False
234,234,1.0,676,676,676.0,0,0.0,False
235,235,1.0,1698,1698,1698.0,0,0.0,False
236,236,1.0,545,545,545.0,0,0.0,False
237,237,1.0,809,809,809.0,0,0.0,False
238,238,1.0,701,701,701.0,0,0.0,False
239,239,1.0,1770,1770,1770.0,0,0.0,False
240,240,1.0,839,839,839.0,0,0.0,False
241,241,1.0,908,908,908.0,0,0.0,False
242,242,1.0,515,515,515.0,0,0.0,False
243,243,1.0,1641,1641,1641.0,0,0.0,False
244,244,1.0,818,818,818.0,0,0.0,False
245,245,1.0,828,828,828.0,0,0.0,False
246,246,1.0,697,697,697.0,0,0.0,False
247,247,1.0,1825,1825,1825.0,0,0.0,False
248,248,1.0,842,842,842.0,0,0.0,False
249,249,1.0,1489,1489,1489.0,0,0.0,False
250,250,1.0,669,669,669.0,0,0.0,False
251,251,1.0,962,962,962.0,0,0.0,False
252,252,1.0,880,880,880.0,0,0.0,False
253,253,1.0,741,741,741.0,0,0.0,False
254,254,1.0,857,857,857.0,0,0.0,False
255,255,1.0,1327,1327,1327.0,0,0.0,False
256,256,1.0,545,545,545.0,0,0.0,False
257,257,1.0,674,674,674.0,0,0.0,False
258,258,1.0,566,566,566.0,0,0.0,False
259,259,1.0,765,765,765.0,0,0.0,False
260,260,1.0,260,260,260.0,0,0.0,False
261,261,1.0,785,785,785.0,0,0.0,False
262,262,1.0,518,518,518.0,0,0.0,False
263,263,1.0,847,847,847.0,0,0.0,False
264,264,1.0,885,885,885.0,0,0.0,False
265,265,1.0,583,583,583.0,0,0.0,False
266,266,1.0,957,957,957.0,0,0.0,False
267,267,1.0,875,875,875.0,0,0.0,False
268,268,1.0,775,775,775.0,0,0.0,False
269,269,1.0,820,820,820.0,0,0.0,False
270,270,1.0,775,775,775.0,0,0.0,False
271,271,1.0,754,754,754.0,0,0.0,False
272,272,1.0,351,351,351.0,0,0.0,False
273,273,1.0,579,579,579.0,0,0.0,False
274,274,1.0,490,490,490.0,0,0.0,False
275,275,1.0,498,498,498.0,0,0.0,False
276,276,1.0,475,475,475.0,0,0.0,False
277,277,1.0,880,880,880.0,0,0.0,False
278,278,1.0,881,881,881.0,0,0.0,False
279,279,1.0,370,370,370.0,0,0.0,False
280,280,1.0,767,767,767.0,0,0.0,False
281,281,1.0,751,751,751.0,0,0.0,False
282,282,1.0,693,693,693.0,0,0.0,False
283,283,1.0,2571,2571,2571.0,0,0.0,False
284,284,1.0,1371,1371,1371.0,0,0.0,False
285,285,1.0,698,698,698.0,0,0.0,False
286,286,1.0,548,548,548.0,0,0.0,False
287,287,1.0,982,982,982.0,0,0.0,False
288,288,1.0,739,739,739.0,0,0.0,False
289,289,1.0,899,899,899.0,0,0.0,False
290,290,1.0,476,476,476.0,0,0.0,False
291,291,1.0,598,598,598.0,0,0.0,False
292,292,1.0,844,844,844.0,0,0.0,False
293,293,1.0,516,516,516.0,0,0.0,False
294,294,1.0,803,803,803.0,0,0.0,False
295,295,1.0,632,632,632.0,0,0.0,False
296,296,1.0,538,538,538.0,0,0.0,False
297,297,1.0,558,558,558.0,0,0.0,False
298,298,1.0,261,261,261.0,0,0.0,False
299,299,1.0,960,960,960.0,0,0.0,False
300,300,1.0,788,788,788.0,0,0.0,False
301,301,1.0,1314,1314,1314.0,0,0.0,False
302,302,1.0,726,726,726.0,0,0.0,False
303,303,1.0,654,654,654.0,0,0.0,False
304,304,1.0,886,886,886.0,0,0.0,False
305,305,1.0,891,891,891.0,0,0.0,False
306,306,1.0,659,659,659.0,0,0.0,False
307,307,1.0,739,739,739.0,0,0.0,False
308,308,1.0,858,858,858.0,0,0.0,False
309,309,1.0,607,607,607.0,0,0.0,False
310,310,1.0,848,848,848.0,0,0.0,False
311,311,1.0,651,651,651.0,0,0.0,False
312,312,1.0,809,809,809.0,0,0.0,False
313,313,1.0,1120,1120,1120.0,0,0.0,False
314,314,1.0,755,755,755.0,0,0.0,False
315,315,1.0,756,756,756.0,0,0.0,False
316,316,1.0,916,916,916.0,0,0.0,False
317,317,1.0,1121,1121,1121.0,0,0.0,False
318,318,1.0,1153,1153,1153.0,0,0.0,False
319,319,1.0,1250,1250,1250.0,0,0.0,False
320,320,1.0,515,515,515.0,0,0.0,False
321,321,1.0,246,246,246.0,0,0.0,False
322,322,1.0,794,794,794.0,0,0.0,False
323,323,1.0,890,890,890.0,0,0.0,False
324,324,1.0,1153,1153,1153.0,0,0.0,False
325,325,1.0,1801,1801,1801.0,0,0.0,False
326,326,1.0,727,727,727.0,0,0.0,False
327,327,1.0,630,630,630.0,0,0.0,False
328,328,1.0,647,647,647.0,0,0.0,False
329,329,1.0,481,481,481.0,0,0.0,False
330,330,1.0,562,562,562.0,0,0.0,False
331,331,1.0,549,549,549.0,0,0.0,False
332,332,1.0,768,768,768.0,0,0.0,False
333,333,1.0,562,562,562.0,0,0.0,False
334,334,1.0,614,614,614.0,0,0.0,False
335,335,1.0,805,805,805.0,0,0.0,False
336,336,1.0,777,777,777.0,0,0.0,False
337,337,1.0,1971,1971,1971.0,0,0.0,False
338,338,1.0,700,700,700.0,0,0.0,False
339,339,1.0,333,333,333.0,0,0.0,False
340,340,1.0,525,525,525.0,0,0.0,False
341,341,1.0,559,559,559.0,0,0.0,False
342,342,1.0,693,693,693.0,0,0.0,False
343,343,1.0,1204,1204,1204.0,0,0.0,False
344,344,1.0,755,755,755.0,0,0.0,False
345,345,1.0,321,321,321.0,0,0.0,False
346,346,1.0,521,521,521.0,0,0.0,False
347,347,1.0,758,758,758.0,0,0.0,False
348,348,1.0,889,889,889.0,0,0.0,False
349,349,1.0,765,765,765.0,0,0.0,False
350,350,1.0,440,440,440.0,0,0.0,False
351,351,1.0,619,619,619.0,0,0.0,False
352,352,1.0,771,771,771.0,0,0.0,False
353,353,1.0,1718,1718,1718.0,0,0.0,False
354,354,1.0,1028,1028,1028.0,0,0.0,False
355,355,1.0,274,274,274.0,0,0.0,False
356,356,1.0,768,768,768.0,0,0.0,False
357,357,1.0,690,690,690.0,0,0.0,False
358,358,1.0,814,814,814.0,0,0.0,False
359,359,1.0,913,913,913.0,0,0.0,False
360,360,1.0,722,722,722.0,0,0.0,False
361,361,1.0,731,731,731.0,0,0.0,False
362,362,1.0,712,712,712.0,0,0.0,False
363,363,1.0,849,849,849.0,0,0.0,False
364,364,1.0,1502,1502,1502.0,0,0.0,False
365,365,1.0,599,599,599.0,0,0.0,False
366,366,1.0,890,890,890.0,0,0.0,False
367,367,1.0,568,568,568.0,0,0.0,False
368,368,1.0,1049,1049,1049.0,0,0.0,False
369,369,1.0,623,623,623.0,0,0.0,False
370,370,1.0,661,661,661.0,0,0.0,False
371,371,1.0,561,561,561.0,0,0.0,False
372,372,1.0,751,751,751.0,0,0.0,False
373,373,1.0,934,934,934.0,0,0.0,False
374,374,1.0,1301,1301,1301.0,0,0.0,False
375,375,1.0,643,643,643.0,0,0.0,False
376,376,1.0,492,492,492.0,0,0.0,False
377,377,1.0,881,881,881.0,0,0.0,False
378,378,1.0,888,888,888.0,0,0.0,False
379,379,1.0,763,763,763.0,0,0.0,False
380,380,1.0,521,521,521.0,0,0.0,False
381,381,1.0,739,739,739.0,0,0.0,False
382,382,1.0,815,815,815.0,0,0.0,False
383,383,1.0,1814,1814,1814.0,0,0.0,False
384,384,1.0,365,365,365.0,0,0.0,False
385,385,1.0,855,855,855.0,0,0.0,False
386,386,1.0,568,568,568.0,0,0.0,False
387,387,1.0,940,940,940.0,0,0.0,False
388,388,1.0,968,968,968.0,0,0.0,False
389,389,1.0,1647,1647,1647.0,0,0.0,False
390,390,1.0,1056,1056,1056.0,0,0.0,False
391,391,1.0,817,817,817.0,0,0.0,False
392,392,1.0,358,358,358.0,0,0.0,False
393,393,1.0,512,512,512.0,0,0.0,False
394,394,1.0,1382,1382,1382.0,0,0.0,False
395,395,1.0,387,387,387.0,0,0.0,False
396,396,1.0,327,327,327.0,0,0.0,False
397,397,1.0,666,666,666.0,0,0.0,False
398,398,1.0,551,551,551.0,0,0.0,False
399,399,1.0,994,994,994.0,0,0.0,False
400,400,1.0,717,717,717.0,0,0.0,False
401,401,1.0,848,848,848.0,0,0.0,False
402,402,1.0,385,385,385.0,0,0.0,False
403,403,1.0,814,814,814.0,0,0.0,False
404,404,1.0,422,422,422.0,0,0.0,False
405,405,1.0,563,563,563.0,0,0.0,False
406,406,1.0,728,728,728.0,0,0.0,False
407,407,1.0,630,630,630.0,0,0.0,False
