label,voxel_count,volume_um3,centroid_z_px,centroid_y_px,centroid_x_px,centroid_z_um,centroid_y_um,centroid_x_um,bbox_z0_px,bbox_y0_px,bbox_x0_px,bbox_z1_px,bbox_y1_px,bbox_x1_px
221,234,116.22914097574055,3.6196581196581197,162.82478632478632,66.67094017094017,5.42948717948718,93.69673827590084,38.3654710858594,1,159,62,6,169,72
223,432,214.576875647521,3.314814814814815,160.0,208.03009259259258,4.972222222222222,92.07122860422896,119.70991382282193,1,151,202,6,169,214
237,212,105.30161490109828,3.2169811320754715,171.37735849056602,66.09433962264151,4.8254716981132075,98.61827469483627,38.03366908026109,1,167,62,6,178,71
249,290,144.04466189301178,3.2,174.75172413793103,235.0758620689655,4.800000000000001,100.56003713804127,135.2732714742995,1,168,230,6,182,242
265,363,180.3041802315975,3.490358126721763,179.02479338842974,150.91735537190084,5.235537190082645,103.01895423681857,86.84466454244965,1,171,146,6,189,157
270,360,178.81406303960085,3.522222222222222,182.6027777777778,202.04444444444445,5.283333333333333,105.07788810340624,116.26550145411801,1,176,198,6,190,208
275,393,195.20535215156426,3.5826972010178118,192.16539440203562,174.5063613231552,5.374045801526718,110.58064973632275,100.41884428922751,1,183,170,6,204,180
307,288,143.05125043168067,3.6145833333333335,30.850694444444443,90.95486111111111,5.421875,17.752883379960377,52.339536312668784,2,25,86,6,37,96
323,5,2.4835286533277894,4.6,56.2,0.0,6.8999999999999995,32.34001904723542,0.0,4,55,0,6,58,1
325,322,159.93924527430966,4.245341614906832,53.71739130434783,13.425465838509316,6.368012422360248,30.911413842533936,7.72561958959786,2,50,8,7,59,19
345,353,175.33712292494195,4.147308781869689,68.66288951841359,29.002832861189802,6.220963172804533,39.51172873422984,16.689540340830312,2,60,24,7,76,35
353,205,101.82467478643937,3.7853658536585364,74.95121951219512,79.1951219512195,5.678048780487805,43.13031791170665,45.57245110944076,2,71,74,6,80,85
354,231,114.73902378374387,4.3852813852813854,73.43290043290044,44.03463203463203,6.577922077922079,42.256608517682245,25.339516703523184,2,69,39,7,78,49
359,262,130.13690143437617,3.6908396946564888,80.3473282442748,72.94274809160305,5.536259541984733,46.2354826657353,41.97455271601669,2,73,68,6,86,79
373,45,22.351757879950107,3.6222222222222222,92.2,0.5777777777777777,5.433333333333334,53.056045483186935,0.3324794366263823,2,89,0,7,97,4
374,234,116.22914097574055,3.52991452991453,92.33333333333333,187.2948717948718,5.294871794871795,53.13277150702379,107.77793098390872,2,88,183,6,97,193
